"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
03055__5875__55030.jpg,1 - Grand Scenic,/Users/matt/Downloads/Archive/1 - Primary/1 - Grand Scenic/03055__5875__55030.jpg,0,Green,* * * * ,green,"a:3, m:3, t:4, p:2, r:3
mean_score=4.00, raw_score=3.00",
23055__5875__55032.jpg,1 - Grand Scenic,/Users/matt/Downloads/Archive/2 - Optional/1 - Grand Scenic/23055__5875__55032.jpg,0,Green,* * * * ,green,"a:2, m:3, t:4, p:2, r:3
mean_score=4.00, raw_score=2.80",
93106__754__60139.jpg,1 - Grand Scenic,/Users/matt/Downloads/Archive/2 - Optional/1 - Grand Scenic/93106__754__60139.jpg,0,Red,* * * * ,red,"a:2, m:2, t:2, p:2, r:4
mean_score=4.00, raw_score=2.40",
07326__4676__62370.jpg,3 - Abstract and Details,/Users/matt/Downloads/Archive/1 - Primary/3 - Abstract and Details/07326__4676__62370.jpg,0,Green,* * * * ,green,"a:3, m:3, t:4, p:3, r:3
mean_score=4.00, raw_score=3.20",
00_project_description.jpg,04/01/6024,/Users/matt/Downloads/Archive/1 - Primary/4 - Project/4-1-6024/00_project_description.jpg,0,0,,white,,project
74426__6024__62447.jpg,04/01/6024,/Users/matt/Downloads/Archive/1 - Primary/4 - Project/4-1-6024/74426__6024__62447.jpg,0,0,* * * * ,white,"a:4, m:4, t:3, p:3, r:3
mean_score=4.33, raw_score=3.40",
00346__3582__64300.jpg,3 - Abstract and Details,/Users/matt/Downloads/Archive/1 - Primary/3 - Abstract and Details/00346__3582__64300.jpg,0,Yellow,* * * * ,yellow,"a:3, m:3, t:3, p:4, r:3
mean_score=4.00, raw_score=3.20",
05426__6024__62450.jpg,04/01/6024,/Users/matt/Downloads/Archive/1 - Primary/4 - Project/4-1-6024/05426__6024__62450.jpg,0,0,* * * * ,white,"a:4, m:4, t:3, p:3, r:3
mean_score=4.33, raw_score=3.40",
10346__3582__64301.jpg,3 - Abstract and Details,/Users/matt/Downloads/Archive/1 - Primary/3 - Abstract and Details/10346__3582__64301.jpg,0,Red,* * * * ,red,"a:3, m:3, t:2, p:3, r:4
mean_score=4.00, raw_score=3.00",
15426__6024__62451.jpg,04/01/6024,/Users/matt/Downloads/Archive/1 - Primary/4 - Project/4-1-6024/15426__6024__62451.jpg,0,0,* * * * ,white,"a:4, m:4, t:3, p:3, r:3
mean_score=4.33, raw_score=3.40",
