"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
23206__5841__60232.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/23206__5841__60232.jpg,0,Red,* * * * ,red,"a:2, m:3, t:3, p:3, r:4
mean_score=4.00, raw_score=3.00",
27306__214__60372.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/27306__214__60372.jpg,0,Green,* * * * ,green,"a:3, m:3, t:4, p:3, r:2
mean_score=4.00, raw_score=3.00",
86846__1414__64868.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/86846__1414__64868.jpg,0,Yellow,* * * * ,yellow,"a:3, m:3, t:3, p:4, r:3
mean_score=4.00, raw_score=3.20",
03956__4558__65930.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/03956__4558__65930.jpg,0,0,* * * * ,white,"a:3, m:3, t:3, p:4, r:4
mean_score=4.33, raw_score=3.40",
11935__5750__53911.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/11935__5750__53911.jpg,0,0,* * * * ,white,"a:2, m:3, t:3, p:4, r:4
mean_score=4.33, raw_score=3.20",
22475__4041__57422.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/22475__4041__57422.jpg,0,0,* * * * ,white,"a:3, m:3, t:4, p:4, r:3
mean_score=4.33, raw_score=3.40",
38136__2713__63183.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/38136__2713__63183.jpg,0,0,* * * * ,white,"a:3, m:3, t:4, p:3, r:4
mean_score=4.33, raw_score=3.40",
44095__6029__59044.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/44095__6029__59044.jpg,0,0,* * * * ,white,"a:3, m:4, t:5, p:3, r:3
mean_score=4.67, raw_score=3.60",
15306__3652__60351.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/15306__3652__60351.jpg,0,0,* * * * ,white,"a:4, m:4, t:4, p:5, r:3
mean_score=4.67, raw_score=4.00",
19446__6215__64491.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/19446__6215__64491.jpg,0,Red,* * * * ,red,"a:2, m:3, t:3, p:3, r:4
mean_score=4.00, raw_score=3.00",
58075__4626__57085.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/58075__4626__57085.jpg,0,Yellow,* * * * ,yellow,"a:3, m:3, t:3, p:4, r:2
mean_score=4.00, raw_score=3.00",
60006__5747__60006.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/60006__5747__60006.jpg,0,0,* * * * * ,white,"a:4, m:5, t:5, p:4, r:3
mean_score=5.00, raw_score=4.20",
62626__3647__62626.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/62626__3647__62626.jpg,0,Green,* * * * ,green,"a:3, m:3, t:5, p:3, r:2
mean_score=4.00, raw_score=3.00",
88985__146__58988.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/88985__146__58988.jpg,0,0,* * * * ,white,"a:3, m:2, t:4, p:3, r:4
mean_score=4.33, raw_score=3.20",
98816__6125__61889.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Round Two/1 - Primary/1 - Grand Scenic/98816__6125__61889.jpg,0,0,* * * * ,white,"a:4, m:4, t:4, p:4, r:4
mean_score=4.33, raw_score=4.00",
