"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
12055__5875__55021.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/12055__5875__55021.jpg,0,,* * * ,gray,,
22055__5875__55022.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/22055__5875__55022.jpg,0,,* ,gray,,
32055__5875__55023.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/32055__5875__55023.jpg,0,,* * * ,gray,,
42055__5875__55024.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/42055__5875__55024.jpg,0,,* * ,gray,,
52055__5875__55025.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/52055__5875__55025.jpg,0,,* * ,gray,,
62055__5875__55026.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/62055__5875__55026.jpg,0,,* * ,gray,,
72055__5875__55027.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/72055__5875__55027.jpg,0,,* * ,gray,,
82055__5875__55028.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/82055__5875__55028.jpg,0,,* * ,gray,,
03055__5875__55030.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/03055__5875__55030.jpg,0,,* * * ,gray,,
13055__5875__55031.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/13055__5875__55031.jpg,0,,* * * ,gray,,
23055__5875__55032.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/23055__5875__55032.jpg,0,,* * * ,gray,,
92055__5875__55029.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/92055__5875__55029.jpg,0,,* * ,gray,,
93106__754__60139.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/93106__754__60139.jpg,0,,* * ,gray,,
04106__754__60140.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/04106__754__60140.jpg,0,,* * ,gray,,
14106__754__60141.jpg,GS,/Users/timparkin/nlpa-2025/NLPA_Round_One_Images/GS/14106__754__60141.jpg,0,,* * ,gray,,
