"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
05595__235__59550.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/05595__235__59550.jpg,0,Green,* * * ,green,,
15595__235__59551.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/15595__235__59551.jpg,0,Green,* * * ,green,,
22335__2509__53322.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/1 - Grand Scenic/22335__2509__53322.jpg,0,Green,* * ,green,,
25595__235__59552.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/25595__235__59552.jpg,0,Green,* * * ,green,,
35595__235__59553.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/35595__235__59553.jpg,0,Green,* * * ,green,,
45595__235__59554.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/45595__235__59554.jpg,0,Green,* * * ,green,,
55595__235__59555.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/55595__235__59555.jpg,0,Green,* * * ,green,,
65595__235__59556.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/65595__235__59556.jpg,0,Green,* * * ,green,,
75595__235__59557.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/75595__235__59557.jpg,0,Green,* * * ,green,,
85595__235__59558.jpg,480-1-235,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/480-1-235/85595__235__59558.jpg,0,Green,* * * ,green,,
86775__1717__57768.jpg,3 - Abstract and Details,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/3 - Abstract and Details/86775__1717__57768.jpg,0,Green,* * * ,green,,
35555__2198__55553.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/1 - Grand Scenic/35555__2198__55553.jpg,0,Green,* * * * ,green,,
38855__2015__55883.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/2 - Intimate Landscape/38855__2015__55883.jpg,0,Green,* * * ,green,,
80075__649__57008.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/1 - Grand Scenic/80075__649__57008.jpg,0,Green,* * * ,green,,
85975__379__57958.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/2 - Intimate Landscape/85975__379__57958.jpg,0,Green,* * * * ,green,,
05326__1260__62350.jpg,440-1-1260,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/440-1-1260/05326__1260__62350.jpg,0,Green,* * * ,green,,
07585__670__58570.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/2 - Intimate Landscape/07585__670__58570.jpg,0,Green,* * ,green,,
10685__5815__58601.jpg,3 - Abstract and Details,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/3 - Abstract and Details/10685__5815__58601.jpg,0,Green,* * * * ,green,,
15326__1260__62351.jpg,440-1-1260,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/440-1-1260/15326__1260__62351.jpg,0,Green,* * * ,green,,
23656__3690__65632.jpg,3 - Abstract and Details,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/3 - Abstract and Details/23656__3690__65632.jpg,0,Green,* * * ,green,,
25326__1260__62352.jpg,440-1-1260,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/440-1-1260/25326__1260__62352.jpg,0,Green,* * * ,green,,
27146__1375__64172.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/2 - Intimate Landscape/27146__1375__64172.jpg,0,Green,* * * * ,green,,
30136__1575__63103.jpg,440-1-1575,/Users/timparkin/nlpa-2025/Master Finals NOTANON/1 - Primary/4 - Project/440-1-1575/30136__1575__63103.jpg,0,Green,* * * * ,green,,
