"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
00016__5916__61000.jpg,2 - Intimate Landscape 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/2 - Intimate Landscape 19.37.17/00016__5916__61000.jpg,0,Yellow,,yellow,"R3.L2.M3.P3.H1 A3.M4.T4.P4.R4
country=JP",m0 r3.0 v0.80
00045__1632__54000.jpg,3 - Abstract and Details 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/3 - Abstract and Details 19.37.17/00045__1632__54000.jpg,0,Red,* * ,red,"R5.L2.M3.P4.H3 A4.M4.T4.P5.R4
country=US",m2 r4.0 v1.30
00055__1709__55000.jpg,2 - Intimate Landscape 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/2 - Intimate Landscape 19.37.17/00055__1709__55000.jpg,0,Yellow,,yellow,"R3.L1.M1.P1.H0 A3.M4.T4.P3.R4
country=JP",m0 r1.7 v1.20
00095__146__59000.jpg,3 - Abstract and Details 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/3 - Abstract and Details 19.37.17/00095__146__59000.jpg,0,Red,,red,"R4.L1.M4.P1.H3 A3.M4.T4.P4.R4
country=GB",m0 r3.7 v2.30
00106__787__60100.jpg,3 - Abstract and Details 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/3 - Abstract and Details 19.37.17/00106__787__60100.jpg,0,Red,,red,"R3.L1.M3.P2.H1 A4.M4.T4.P4.R4
country=US",m0 r2.7 v1.00
00126__953__62100.jpg,1 - Grand Scenic 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/1 - Grand Scenic 19.37.17/00126__953__62100.jpg,0,Green,,green,"R2.L1.M1.P2.H1 A3.M4.T4.P3.R4
country=US",m0 r1.7 v0.30
00135__3085__53100.jpg,1 - Grand Scenic 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/1 - Grand Scenic 19.37.17/00135__3085__53100.jpg,0,Green,,green,"R3.L1.M2.P2.H1 A3.M4.T4.P4.R4
country=CA",m0 r2.3 v0.70
00195__6031__59100.jpg,3 - Abstract and Details 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/3 - Abstract and Details 19.37.17/00195__6031__59100.jpg,0,Red,,red,"R2.L1.M2.P1.H1 A2.M4.T4.P2.R4
country=GB",m0 r1.7 v0.30
00235__509__53200.jpg,2 - Intimate Landscape 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/2 - Intimate Landscape 19.37.17/00235__509__53200.jpg,0,Yellow,* * ,yellow,"R5.L2.M3.P2.H4 A3.M4.T4.P4.R4
country=GB",m2 r4.0 v1.70
00236__343__63200.jpg,1 - Grand Scenic 19.37.17,/Users/timparkin/nlpa-2025/NLPA-2025-finals-raws/Primary (grade all)/1 - Grand Scenic 19.37.17/00236__343__63200.jpg,0,Green,,green,"R2.L3.M2.P2.H2 A3.M4.T4.P3.R4
country=GB",m0 r2.3 v0.20
