"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
12695__2625__59621.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/12695__2625__59621.jpg,0,,,gray,,
10685__5815__58601.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/10685__5815__58601.jpg,0,,,gray,,
23656__3690__65632.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/23656__3690__65632.jpg,0,,,gray,,
04726__1821__62740.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/04726__1821__62740.jpg,0,,,gray,,
22355__69__55322.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/22355__69__55322.jpg,0,,,gray,,
85306__3652__60358.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/85306__3652__60358.jpg,0,,,gray,,
04756__838__65740.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/04756__838__65740.jpg,0,,,gray,,
74506__2625__60547.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/74506__2625__60547.jpg,0,,,gray,,
37645__972__54673.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/37645__972__54673.jpg,0,,,gray,,
93756__838__65739.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/93756__838__65739.jpg,0,,,gray,,
88595__2625__59588.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/88595__2625__59588.jpg,0,,,gray,,
75026__810__62057.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/75026__810__62057.jpg,0,,,gray,,
41055__1709__55014.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/41055__1709__55014.jpg,0,,,gray,,
22335__2509__53322.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/22335__2509__53322.jpg,0,,,gray,,
60006__5747__60006.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/60006__5747__60006.jpg,0,,,gray,,
31985__1052__58913.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/31985__1052__58913.jpg,0,,,gray,,
19636__2118__63691.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/19636__2118__63691.jpg,0,,,gray,,
57195__5873__59175.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/57195__5873__59175.jpg,0,,,gray,,
53206__4360__60235.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/53206__4360__60235.jpg,0,,,gray,,
51755__3622__55715.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/51755__3622__55715.jpg,0,,,gray,,
32135__5737__53123.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/32135__5737__53123.jpg,0,,,gray,,
22736__3486__63722.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/22736__3486__63722.jpg,0,,,gray,,
35206__4360__60253.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/35206__4360__60253.jpg,0,,,gray,,
68716__6113__61786.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/68716__6113__61786.jpg,0,,,gray,,
74926__6113__62947.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/74926__6113__62947.jpg,0,,,gray,,
31185__2972__58113.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/31185__2972__58113.jpg,0,,,gray,,
55835__2028__53855.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/55835__2028__53855.jpg,0,,,gray,,
42355__69__55324.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/42355__69__55324.jpg,0,,,gray,,
33016__2595__61033.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/33016__2595__61033.jpg,0,,,gray,,
78536__3526__63587.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/78536__3526__63587.jpg,0,,,gray,,
11336__6187__63311.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/11336__6187__63311.jpg,0,,,gray,,
30016__5916__61003.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/30016__5916__61003.jpg,0,,,gray,,
36026__343__62063.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/36026__343__62063.jpg,0,,,gray,,
00045__1632__54000.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/00045__1632__54000.jpg,0,,,gray,,
75146__1375__64157.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/75146__1375__64157.jpg,0,,,gray,,
33255__2876__55233.jpg,3 - Abstract,/Users/timparkin/nlpa-2025/FINALS/3 - Abstract/33255__2876__55233.jpg,0,,,gray,,
81536__70__63518.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/81536__70__63518.jpg,0,,,gray,,
23726__1879__62732.jpg,2 - Intimate Landscape,/Users/timparkin/nlpa-2025/FINALS/2 - Intimate Landscape/23726__1879__62732.jpg,0,,,gray,,
35555__2198__55553.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/35555__2198__55553.jpg,0,,,gray,,
92865__5944__56829.jpg,1 - Grand Scenic,/Users/timparkin/nlpa-2025/FINALS/1 - Grand Scenic/92865__5944__56829.jpg,0,,,gray,,
