"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
74506__2625__60547.jpg,3 - Abstract and Details,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/3 - Abstract and Details/74506__2625__60547.jpg,1,Green,* * * * ,green,"R5.L2.M5.P3.H5 N3.Y4.T4.A4.J4
country=NO",s4 m4.00 r5.00 v2.00
41055__1709__55014.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/2 - Intimate Landscape/41055__1709__55014.jpg,1,Green,* * * * ,green,"R5.L2.M5.P2.H5 N3.Y4.T4.A4.J4
country=JP",s4 m3.80 r5.00 v2.70
75026__810__62057.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/2 - Intimate Landscape/75026__810__62057.jpg,1,Green,* * * * * ,green,"R5.L5.M5.P4.H5 N3.Y4.T4.A4.J4
country=DE",s5 m4.80 r5.00 v0.20
18195__4258__59181.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/2 - Intimate Landscape/18195__4258__59181.jpg,0,Grey,* * * * ,white,"R5.L3.M5.P5.H2 N3.Y4.T4.A5.J4
country=US",s4 m4.00 r5.00 v2.00
92865__5944__56829.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/1 - Grand Scenic/92865__5944__56829.jpg,1,Green,* * * * * ,green,"R5.L5.M5.P3.H4 N3.Y4.T5.A4.J4
country=US",s5 m4.40 r5.00 v0.80
60006__5747__60006.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/1 - Grand Scenic/60006__5747__60006.jpg,1,Green,* * * * ,green,"R5.L2.M5.P3.H5 N4.Y5.T5.A5.J5
country=CA",s4 m4.00 r5.00 v2.00
22335__2509__53322.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/1 - Grand Scenic/22335__2509__53322.jpg,1,Purple,* * * * ,purple,"R5.L2.M5.P5.H2 N5.Y5.T5.A5.J5
country=nan",GS - Winner
94845__1829__54849.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/2 - Intimate Landscape/94845__1829__54849.jpg,0,Green,* * * ,green,"R5.L1.M5.P4.H2 N2.Y4.T3.A4.J4
country=GB",s3 m3.40 r4.67 v3.30
37645__972__54673.jpg,3 - Abstract and Details,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/3 - Abstract and Details/37645__972__54673.jpg,1,Purple,* * * ,purple,"R5.L4.M5.P2.H4 N4.Y4.T3.A4.J4
country=IL",A - Winner
88595__2625__59588.jpg,2 - Intimate Landscape,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/2 - Intimate Landscape/88595__2625__59588.jpg,1,Green,* * * ,green,"R5.L3.M5.P3.H4 N3.Y4.T4.A4.J4
country=NO",s3 m4.00 r4.67 v1.00
31985__1052__58913.jpg,1 - Grand Scenic,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/1 - Grand Scenic/31985__1052__58913.jpg,1,Purple,* * * ,purple,"R5.L5.M4.P1.H4 N3.Y4.T4.A4.J4
country=US",GS - Highly Commended 1
