"File,name",Folder,Path,Flag,Label,Rating,"Color,Name",Caption,Title
73045__5815__54037.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/73045__5815__54037.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
33045__5815__54033.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/33045__5815__54033.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
04045__5815__54040.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/04045__5815__54040.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
93045__5815__54039.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/93045__5815__54039.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
23045__5815__54032.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/23045__5815__54032.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
63045__5815__54036.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/63045__5815__54036.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
43045__5815__54034.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/43045__5815__54034.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
83045__5815__54038.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/83045__5815__54038.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
53045__5815__54035.jpg,3.7-1-5815,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-5815/53045__5815__54035.jpg,0,Purple,* * * * * ,purple,"R4.L5.M5.P5.H3 N3.Y4.T5.A4.J4
country=nan",Project - Fourth Place
13506__2625__60531.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/13506__2625__60531.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
03506__2625__60530.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/03506__2625__60530.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
16506__2625__60561.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/16506__2625__60561.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
45216__2625__61254.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/45216__2625__61254.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
70506__2625__60507.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/70506__2625__60507.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
80506__2625__60508.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/80506__2625__60508.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
39406__2625__60493.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/39406__2625__60493.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
34506__2625__60543.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/34506__2625__60543.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
10506__2625__60501.jpg,3.7-1-2625,/Volumes/NLPASCRATCH/NLPA-2025-finals-rawchecking/Primary (grade all)/4 - Project/3.7-1-2625/10506__2625__60501.jpg,0,Purple,* * * * * ,purple,"R5.L4.M5.P4.H5 N4.Y4.T4.A4.J4
country=NO",Project - Sixth Place
