Filename,Name,Award,Photo ID,Nationality,Bio,Profile Link Type,Profile Link,Title,Caption
PROJECTS/1 Winner - Hanneke Van Camp/ 1 Winner-Hanneke Van Camp-1153_61092_3511.jpg,Hanneke Van Camp,"('Projects,  Winner',)",61092,"Leuven, Belgium","Ever since I first traveled to Sápmi, I’ve felt deeply connected to its landscapes and culture. It has become my part-time home - a place of incredible beauty but also of fragility, facing threats from climate change and exploitation. Through this project, I hope to share its unique diversity and invite others to reconnect with nature and the values it carries.",Website,hannekevancamp.com,Sápmi - Living Landscapes,"Ever since I first traveled to Sápmi, I’ve felt deeply connected to its landscapes and culture. It has become my part-time home - a place of incredible beauty but also of fragility, facing threats from climate change and exploitation. Through this project, I hope to share its unique diversity and invite others to reconnect with nature and the values it carries."
SPECIALS/Rocks and Geology/3 Third Place-Torsten Pull-4071_61125_1704.jpg,Torsten Pull,"('Rocks and Geology, Third Place',)",61125,"London, UK ",The image was taken on a Mesa in Utah on a freezing December morning (-10C/14F). Hiking up in the dark to this amazing place was an interested experience. The scene that unfolded before me was definetely worth the effort. ,Instagram,@torsten.pull,Tumbling,The image was taken on a Mesa in Utah on a freezing December morning (-10C/14F). Hiking up in the dark to this amazing place was an interested experience. The scene that unfolded before me was definetely worth the effort. 
SPECIALS/Seascapes/1 Winner-Lizzie Shepherd-392_61820_293.jpg,Lizzie Shepherd,"('Seascapes, Winner',)",61820,"Yorkshire, UK","Harris is perhaps best known for its pristine, sandy beaches, but I am always drawn to its extraordinary rocky shoreline, made up of Lewisian gneiss formed millions of years ago. The challenge is to marry that complex and beautiful foreground with the wonderful backdrop of the Harris Hills in the distance. This is the closest I've come yet, but it's work in progress!",Website,lizzieshepherd.com,"A shoreline of ancient Lewisian gneiss at dawn, with the Harris Hill beyond.","Harris is perhaps best known for its pristine, sandy beaches, but I am always drawn to its extraordinary rocky shoreline, made up of Lewisian gneiss formed millions of years ago. The challenge is to marry that complex and beautiful foreground with the wonderful backdrop of the Harris Hills in the distance. This is the closest I've come yet, but it's work in progress!"
MAIN CATEGORIES/Intimate Landscape/4 Highly Commended-祐也 若松-6195_61003_5916.jpg,Yuya Ｗakamatsu,"(' Intimate Landscape, Highly Commended',)",61003,Japan,"Amidst a snowstorm in the Japanese mountains, this ancient tree stood veiled in frost and silence. I was drawn to its enduring presence, revealing a quiet strength within the winter mist.",Instagram,@ yuya_photo29,Frozen Silence,"Amidst a snowstorm in the Japanese mountains, this ancient tree stood veiled in frost and silence. I was drawn to its enduring presence, revealing a quiet strength within the winter mist."
MAIN CATEGORIES/Grand Landscape/1 Winner-Luis Vilariño-9052_53322_2509.jpg,Luis Vilariño,"(' Grand Scenic, Winner',)",53322,"A Coruña, Spain","The wind accumulated the snow at the foot of the gigantic blocks of ice based on the shore. It stopped snowing, but the wind kept blowing hard, lifting and depositing volcanic sand on the snow, shading the relief and textures as a charcoal artist would have done.",Website,The Dramatic Light,Ice & Wind,"The wind accumulated the snow at the foot of the gigantic blocks of ice based on the shore. It stopped snowing, but the wind kept blowing hard, lifting and depositing volcanic sand on the snow, shading the relief and textures as a charcoal artist would have done."
MAIN CATEGORIES/Intimate Landscape/1 Winner-David Shaw-7875_53759_5787.jpg,Dave Shaw,"(' Intimate Landscape, Winner',)",53759,"Somerset, UK","This type of woodland is quite tricky to photograph as it is so busy, and generally needs mist or thick fog to do it justice. For this particular trip I didn't have those conditions and decided to scout the area rather than focus on the photography. However, just as I was about to start the long trek back to the car, the sun came out and lit up this scene, leaving me scrambling to get 'something' before it disappared again. Chaotic by nature chaotic by capture!",Website,www.mistywoodland.co.uk,Jurassic World,"This type of woodland is quite tricky to photograph as it is so busy, and generally needs mist or thick fog to do it justice. For this particular trip I didn't have those conditions and decided to scout the area rather than focus on the photography. However, just as I was about to start the long trek back to the car, the sun came out and lit up this scene, leaving me scrambling to get 'something' before it disappared again. Chaotic by nature chaotic by capture!"
PROJECTS/3 Third Place - Theo Bosboom/3 Third Place-Theo Bosboom-532_59536_235.jpg,Theo Bosboom,"('Projects, Third Place',)",59536,The Netherlands,"What would an ant see if it looked up while walking through a field of flowers? Flowerscapes is a wonderful and extraordinary photographic tribute to our wild flowers, captured from an insect’s perspective. Photographer Theo Bosboom used a special lens for this, embarking on an exploration of countless flower fields in his home country the Netherlands and sometimes just across the border in Germany or Belgium. ",Website,theobosboom.nl,"Flowerscapes, A bug's eye view","What would an ant see if it looked up while walking through a field of flowers? Flowerscapes is a wonderful and extraordinary photographic tribute to our wild flowers, captured from an insect’s perspective. Photographer Theo Bosboom used a special lens for this, embarking on an exploration of countless flower fields in his home country the Netherlands and sometimes just across the border in Germany or Belgium. "
SPECIALS/Frozen Worlds/1 Winner-Vojtech Schmidt-3116_61790_6113.jpg,Vojtech Schmidt,"('Frozen Worlds, Winner',)",61790,"Prague, Czechia","At first, this didn’t feel like an obvious scene. But when the sun rose and golden light began to spill across the fresh snow, the whole scene came together. The halo effect caused by drifting snow was the cherry on top – a reward after a long, frigid night.
",Website,vojtaschmidt.com,Snow pit,"At first, this didn’t feel like an obvious scene. But when the sun rose and golden light began to spill across the fresh snow, the whole scene came together. The halo effect caused by drifting snow was the cherry on top – a reward after a long, frigid night.
"
MAIN CATEGORIES/Intimate Landscape/2 Runner Up-Vojtech Schmidt-3116_61786_6113.jpg,Vojtech Schmidt,"(' Intimate Landscape, Runner Up',)",61786,see previous,"During a winter expedition in the snowy expanses of Finnish Lapland, I was granted a fleeting encounter. With my camera ready, I managed to quietly capture a glimpse before the willow grouse disappeared into the white silence.",Website,vojtaschmidt.com,Ptarmigan in the White Darkness,"During a winter expedition in the snowy expanses of Finnish Lapland, I was granted a fleeting encounter. With my camera ready, I managed to quietly capture a glimpse before the willow grouse disappeared into the white silence."
PHOTOGRAPHER OF THE YEAR/5 Fifth Place - Vojtech Schmidt/5-Vojtech Schmidt-3116_61785_6113.jpg,Vojtech Schmidt,"('Photographer of the Year,  Fifth Place',)",61785,see previous,"I lost myself for hours photographing in a frosty gorge, surrounded by countless icicles. This one was my favourite — like nature’s chandelier, suspended above the stream.",Website,vojtaschmidt.com,Icy Jewelry,"I lost myself for hours photographing in a frosty gorge, surrounded by countless icicles. This one was my favourite — like nature’s chandelier, suspended above the stream."
